id,category,name,price,image,options,description,isAvailable
12,"""",-1/2,7830848762,田中さんにあげて下さい,和製漢語,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,true
13,../../../../../../../../../../../etc/hosts,１２３,3728538086,⁦test⁧,(╯°□°）╯︵ ┻━┻)  ,test⁠test‫,false
14, ,../../../../../../../../../../../etc/passwd%00,3009709092,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,-$1.00,␢,true
15,"""'""'""''''""",(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,1099294175,和製漢語,test⁠test‫, ,true
16,"""'""'""''''""",₀₁₂,7061012515,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,1/0,"<>?:""{}|_+",false
17,パーティーへ行かないか,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,4963033960,00˙Ɩ$-,œ∑´®†¥¨ˆøπ“‘,␡,true
18,ÅÍÎÏ˝ÓÔÒÚÆ☃,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,6362812401,😍,(╯°□°）╯︵ ┻━┻)  ,0/0,false
19,NULL,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,9809852204, test ,⁦test⁧,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,true
20,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,8477838744,0/0,‫test‫,‫test‫,false
21,-1E2,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,1815157856,",./;'[]\-=",̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,​,true
22,¸˛Ç◊ı˜Â¯˘¿,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,1329839152,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },œ∑´®†¥¨ˆøπ“‘,‪‪test‪,true
23,null,test⁠test‫,9272760997,₀₁₂,"""'""'""''''""",-1,true
24,␣,田中さんにあげて下さい,5767843808,¡™£¢∞§¶•ªº–≠,␢,Œ„´‰ˇÁ¨ˆØ∏”’,false
25,ÅÍÎÏ˝ÓÔÒÚÆ☃,・(￣∀￣)・:*:,7310471960,<svg><script>0<1>alert('XSS')</script>,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,"'""'",true
26,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.", ,1588882911,"<>?:""{}|_+",̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,(｡◕ ∀ ◕｡),false
27,1E+02,00˙Ɩ$-,4564517457,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,-1E2,"""'""'""''''""",false
28,​,00˙Ɩ$-,7443462678,../../../../../../../../../../../etc/passwd%00,',(╯°□°）╯︵ ┻━┻)  ,false
29,␣,﻿,6625145484,⁰⁴⁵,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,社會科學院語學研究所,false
30,(╯°□°）╯︵ ┻━┻)  ,הָיְתָהtestالصفحات التّحول,8433577666,部落格,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,-1E+02,false
31,"__ﾛ(,_,*)",␡,2266555250,(╯°□°）╯︵ ┻━┻)  ,⁦test⁧,部落格,true
32,nil,　,1676524177,<img src=x onerror=alert('hi') />,田中さんにあげて下さい,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",false
33,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },() { 0; }; touch /tmp/blns.shellshock1.fail;,2102457687,-1/2,1,"<>?:""{}|_+",true
34,部落格,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,1259345704,"""",｀ｨ(´∀｀∩,NULL,false
35,"""",̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,7231844882,¡™£¢∞§¶•ªº–≠,｀ｨ(´∀｀∩,0/0,false
36,../../../../../../../../../../../etc/passwd%00,👩🏽,1128489989,-1,1/2,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,true
37,﻿,田中さんにあげて下さい,9886453613,null,1;DROP TABLE users,nil,true
38,nil,␢,4821846330,0/0,0/0,/dev/null; touch /tmp/blns.fail ; echo,false
39,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,Œ„´‰ˇÁ¨ˆØ∏”’,6984707882,null,NIL,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,true
40,!@#$%^&*(),"""'""'""''''""",3929597854,(｡◕ ∀ ◕｡),｀ｨ(´∀｀∩,!@#$%^&*(),true
41,-1/2, ,3041485661, test ,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,␡,true
42,0.00,-1/2,3486629886,١٢٣,部落格,1;DROP TABLE users,false
43,🐵 🙈 🙉 🙊,-1,7882577006,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,1.00,-1,true
44,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",$1.00,694548253,社會科學院語學研究所,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,0/0,true
45,!@#$%^&*(), ,1446817350,-1E+02,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },사회과학원 어학연구소,false
46,!@#$%^&*(),🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,7430143928,1/2,-1,1/2,false
47,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,"__ﾛ(,_,*)",7498259995,'',¸˛Ç◊ı˜Â¯˘¿,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,false
48,¸˛Ç◊ı˜Â¯˘¿,1/0,3427770168,"""'""'""''''""",(╯°□°）╯︵ ┻━┻)  ,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,false
49,-1/2,1'; DROP TABLE users--,3953604576,😍,null,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,true
50,NIL,᠎,1556853003,1,'',<script>alert('hi')</script>,false
51,-1.00,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,7276988865,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",‪‪test‪,false
52,"""'""'""''''""",Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,7313829144,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,1;DROP TABLE users,../../../../../../../../../../../etc/hosts,false
53,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,2466786735,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,-$1.00,"'""'",false
54,<img src=x onerror=alert('hi') />,",./;'[]\-=",3470254169,"""""",١٢٣,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,true
55,-1E+02,​,1725536772,١٢٣,␣,"""'""'""''''""",true
56,<svg><script>0<1>alert('XSS')</script>,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,3642584712,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,¸˛Ç◊ı˜Â¯˘¿,部落格,true
57,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,9974501839,"__ﾛ(,_,*)",₀₁₂,␢,true
58,1.00,הָיְתָהtestالصفحات التّحول,983868911,null,‪‪test‪,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,false
59,👩🏽,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,9853877297,הָיְתָהtestالصفحات التّحول,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,｀ｨ(´∀｀∩,true
60,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ","""''''""'""",2008054140,部落格,1E02,1E02,false
61,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },"__ﾛ(,_,*)",4566129398,1;DROP TABLE users,1,-1E2,true
62,../../../../../../../../../../../etc/passwd%00,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,3052004138,הָיְתָהtestالصفحات التّحول,1E2,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,false
63,¸˛Ç◊ı˜Â¯˘¿,¡™£¢∞§¶•ªº–≠,9793183816,-1E02,🐵 🙈 🙉 🙊,test⁠test‫,true
64,-1/2,パーティーへ行かないか,7008632640,﻿,<script>alert('hi')</script>,田中さんにあげて下さい,false
65,・(￣∀￣)・:*:,"""""",4594489369,사회과학원 어학연구소,הָיְתָהtestالصفحات التّحول,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",false
66,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",4082758178,`⁄€‹›ﬁﬂ‡°·‚—±,<svg><script>0<1>alert('XSS')</script>,test⁠test‫,false
67,⁰⁴⁵,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,3418291121,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,!@#$%^&*(),"""''''""'""",true
68,test⁠test‫,!@#$%^&*(),1811610681,｀ｨ(´∀｀∩,-$1.00,0.00,true
69,-1,・(￣∀￣)・:*:,9883616430,和製漢語,1E02,⁦test⁧,false
70,'',̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,7347291635,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },-1/2,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,true
71,åß∂ƒ©˙∆˚¬…æ,-1E02,8594335576,😍,(｡◕ ∀ ◕｡),',false
72, test ,œ∑´®†¥¨ˆøπ“‘,9093160622,᠎,1'; DROP TABLE users--,⁰⁴⁵₀₁₂,false
73,₀₁₂,,3695595344,👩🏽,・(￣∀￣)・:*:, ,true
74,␡,œ∑´®†¥¨ˆøπ“‘,6228654955,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,␢,"'""'",false
75,$1.00,パーティーへ行かないか,3990530557,null,¡™£¢∞§¶•ªº–≠,"""'""'""''''""",true
76,사회과학원 어학연구소,Œ„´‰ˇÁ¨ˆØ∏”’,2533333787,NULL,-1E2,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,false
